,10/7,10/8,10/9,10/10,10/11,10/12,10/13,10/14,11/26,11/27,11/28,11/29,11/30,12/1,12/2,12/3
Product23,32.99,29.99,22.49,22.49,22.49,22.49,22.49,22.49,15.00,15.00,15.00,15.00,15.00,15.00,15.00,29.49
Product24,27.00,27.97,27.97,27.97,27.97,27.97,27.97,27.97,27.95,27.95,27.95,27.95,27.95,27.95,27.95,27.95
Product25,49.96,49.96,49.96,49.96,49.96,49.96,49.96,49.96,44.00,44.00,40.99,44.00,44.00,44.00,42.00,44.00
Product26,18.99,18.99,18.99,18.99,18.99,18.99,18.99,18.99,18.99,18.99,18.99,18.99,18.99,18.99,15.97,15.97
Product27,474.99,474.99,474.99,474.99,474.99,474.99,474.99,474.99,519.99,519.99,519.99,529.99,529.99,529.99,529.99,529.99
Product28,31.03,28.55,28.55,28.55,28.55,28.55,28.55,28.55,26.68,26.68,26.68,26.68,26.68,26.68,26.68,29.99
Product29,24.99,19.82,19.82,19.82,19.82,19.82,19.82,19.82,10.00,10.00,10.00,10.00,10.00,10.00,24.99,24.99
Product30,28.98,28.98,28.98,28.98,28.98,28.98,28.98,28.98,29.99,29.99,29.99,29.99,29.99,29.99,29.99,29.99
Product31,12.97,12.97,12.97,12.97,12.97,12.97,12.97,12.97,12.97,12.97,12.97,12.97,12.97,12.97,12.97,12.97
Product32,24.99,24.99,20.99,24.99,24.99,24.99,24.99,24.99,15.97,15.97,15.97,15.97,19.94,19.94,19.94,19.94
Product33,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97
Product34,8.95,8.84,8.83,8.83,8.95,8.95,8.95,8.95,8.99,8.85,9.15,8.90,8.90,8.90,8.85,8.85
Product35,34.98,34.98,34.98,34.98,34.98,34.98,34.98,34.98,34.98,34.98,34.98,34.98,34.98,34.98,34.98,34.98
Product36,149.99,149.99,149.99,149.99,149.99,149.99,149.99,149.99,149.99,149.99,149.99,149.99,149.99,149.99,149.99,149.99
Product37,8.98,8.98,8.98,8.98,8.98,8.98,8.98,8.98,13.30,13.30,8.98,8.98,17.00,17.00,16.97,16.97
Product38,39.97,33.97,33.97,33.97,33.97,39.97,39.97,39.97,33.97,33.97,33.97,33.97,33.97,33.97,39.97,32.97
Product39,6.98,6.98,6.98,6.98,6.98,6.98,6.98,6.98,6.98,6.98,6.98,6.98,6.98,6.98,6.98,6.98
Product40,119.99,117.99,117.99,117.99,117.99,117.99,117.99,117.99,116.90,116.90,116.90,116.90,115.99,115.99,114.99,114.99
Product41,28.00,28.00,28.00,28.00,28.00,28.00,28.00,28.00,28.00,28.00,28.00,28.00,25.89,25.89,28.00,28.00
Product42,39.95,39.95,39.95,39.95,39.95,39.95,39.95,39.95,31.96,31.96,31.96,31.96,31.96,31.96,31.96,39.95
